id,Goods
1,柑橘类水果
1,人造黄油
1,即食汤
1,半成品面包
2,咖啡
2,热带水果
2,酸奶
3,全脂牛奶
4,奶油乳酪
4,肉泥
4,仁果类水果
4,酸奶
5,炼乳
5,长面包
5,其他蔬菜
5,全脂牛奶
6,腐蚀性清洁剂
6,黄油
6,白饭
6,全脂牛奶
6,酸奶
7,面包卷
8,瓶装啤酒
8,开胃酒
8,其他蔬菜
8,面包卷
8,超高温杀菌的牛奶
9,盆栽
10,谷物
10,全脂牛奶
11,瓶装水
11,巧克力
11,其他蔬菜
11,热带水果
11,白面包
12,瓶装水
12,黄油
12,柑橘类水果
12,凝乳
12,碗碟
12,面粉
12,热带水果
12,全脂牛奶
12,酸奶
13,牛肉
14,冷冻热狗肠
14,面包卷
14,苏打
15,鸡
15,热带水果
16,黄油
16,水果/蔬菜汁
16,报纸
16,糖
17,水果/蔬菜汁
18,包装水果/蔬菜
19,巧克力
20,特制门锁
21,其他蔬菜
22,酪
22,糕点
23,全脂牛奶
24,奶油乳酪
24,一般清洁剂
24,报纸
24,融化奶酪
24,热带水果
25,浴室清洁剂
25,糖果
25,面粉
25,冷冻甜点
25,其他蔬菜
25,面包卷
25,根茎类蔬菜
25,咸点心
25,甜食
25,热带水果
25,威化饼
26,瓶装水
26,罐装啤酒
27,酸奶
28,巧克力
28,面包卷
28,香肠
28,苏打
29,其他蔬菜
30,黑面包
30,罐装啤酒
30,水果/蔬菜汁
30,报纸
30,购物袋
30,苏打
31,一般饮料
31,瓶装水
31,特制门锁
31,酸奶
32,瓶装水
32,汉堡肉
32,卫生用品
32,餐巾
32,其他蔬菜
32,面包卷
32,香辛料
33,一般饮料
33,其他蔬菜
33,根茎类蔬菜
33,糖
33,全脂牛奶
34,腐蚀性清洁剂
34,甜味剂
34,莓果
34,其他蔬菜
34,猪肉
34,苏打
34,酸奶油
34,全脂牛奶
35,牛肉
35,一般清洁剂
35,葡萄
36,糕点
36,苏打
37,水果/蔬菜汁
38,罐装啤酒
39,甜点
39,其他蔬菜
39,根茎类蔬菜
39,全脂牛奶
40,柑橘类水果
40,报纸
40,面包干
41,罐装啤酒
41,面包卷
41,香肠
41,购物袋
41,苏打
41,特制门锁
42,黑面包
42,糖果
42,谷物
42,咖啡
42,本地蛋类
42,糕点
42,根茎类蔬菜
42,苏打
42,糖
42,热带水果
42,威化饼
42,全脂牛奶
42,酸奶
43,莓果
43,酸奶
44,罐装啤酒
45,瓶装水
45,酪
45,奶油乳酪
45,报纸
45,面包卷
45,苏打
45,水果奶油涂抹酱
45,酸奶
46,咖啡
47,瓶装水
47,糕点
48,面包卷
49,其他饮料
50,瓶装水
50,黄油
50,凝乳
50,硬奶酪
50,长面包
50,其他蔬菜
50,面包卷
50,根茎类蔬菜
50,超高温杀菌的牛奶
50,酸奶油
51,猫食
51,报纸
51,面包卷
51,香肠
52,罐装啤酒
53,葡萄
53,火腿
53,其他蔬菜
53,全脂牛奶
54,发酵粉
54,黑面包
54,凝乳
54,本地蛋类
54,水果/蔬菜汁
54,人造黄油
54,其他蔬菜
54,半成品面包
54,热带水果
54,火鸡
55,腌菜
55,融化奶酪
55,苏打
55,全脂牛奶
55,酸奶
56,凝乳
56,糕点
56,全脂牛奶
56,酸奶
57,黑面包
57,罐装啤酒
57,包装水果/蔬菜
58,瓶装水
58,口香糖
58,巧克力棉花糖
58,卫生用品
58,餐巾
58,油
58,面包卷
59,牛肉
59,猫食
59,火腿
59,冰淇淋
59,面包卷
59,酸奶油
60,糕点
60,面包卷
60,糖
61,罐头鱼
61,一般清洁剂
61,冷冻蔬菜
61,其他蔬菜
61,咸点心
61,季节性商品
61,全脂牛奶
62,糕点
62,香肠
63,牛肉
63,香肠
63,全脂牛奶
64,黑面包
64,冷冻热狗肠
64,面包卷
64,糖
64,热带水果
65,糕点
65,面包卷
65,苏打
66,全脂牛奶
67,咖啡
67,凝乳酪
68,报纸
68,粉红葡萄酒
69,凝乳
69,香肠
69,全脂牛奶
70,莓果
70,巧克力
70,冷冻土豆制品
70,腌菜
70,仁果类水果
70,面包卷
70,热带水果
70,全脂牛奶
71,粉红葡萄酒
72,黄油
72,蜡烛
72,花卉种子
72,人造黄油
72,特色巧克力
72,特色油脂
72,全脂牛奶
73,柑橘类水果
73,本地蛋类
73,冷冻热狗肠
73,报纸
73,油
73,起泡酒
73,特色巧克力
73,全脂牛奶
74,肉泥
74,苏打
74,全脂牛奶
75,冷冻土豆制品
76,其他蔬菜
76,面包卷
76,糖
76,全脂牛奶
77,酪
77,柑橘类水果
77,凝乳
77,糕点
77,全脂牛奶
78,瓶装啤酒
78,瓶装水
78,面粉
78,水果/蔬菜汁
78,盐
79,瓶装啤酒
79,瓶装水
79,苏打
79,糖
80,咖啡
80,冷冻餐饭
81,巧克力
82,浴室清洁剂
82,罐头蔬菜
82,本地蛋类
82,冷冻蔬菜
82,水果/蔬菜汁
82,人造黄油
82,油
82,面包卷
82,根茎类蔬菜
82,全脂牛奶
83,冷冻蔬菜
83,硬奶酪
83,洋葱
83,根茎类蔬菜
84,蜡烛
84,炼乳
84,冷冻蔬菜
84,香草
84,油
84,盐
84,白酒
85,瓶装水
86,白兰地
86,一般清洁剂
86,洋葱
86,面包卷
86,根茎类蔬菜
86,香肠
86,酸奶
87,咖啡
87,报纸
88,其他蔬菜
88,猪肉
88,酸奶油
89,莓果
89,酸奶
90,苏打
91,莓果
92,蜡烛
92,水果/蔬菜汁
92,咸点心
93,酪
93,柑橘类水果
93,奶油乳酪
93,酸奶
94,莓果
94,巧克力
94,柑橘类水果
94,咖啡
94,汉堡肉
94,洋葱
94,猪肉
94,白饭
94,酸奶油
95,一般清洁剂
96,葡萄
96,相片/膜
97,黑面包
97,罐装啤酒
97,水果/蔬菜汁
97,粉红葡萄酒
97,面包卷
97,香肠
97,购物袋
97,切片奶酪
97,威化饼
98,黄油
98,鸡
98,柑橘类水果
98,一般清洁剂
98,汉堡肉
98,油
98,其他蔬菜
98,意大利面
98,根茎类蔬菜
98,热带水果
99,黑面包
99,全脂牛奶
99,酸奶
100,柑橘类水果
100,热带水果
101,其他饮料
101,苏打
102,浴室清洁剂
102,葡萄
102,糕点
102,猪肉
102,面包卷
102,香肠
102,苏打
102,特制门锁
102,全脂牛奶
103,瓶装水
103,冷冻热狗肠
103,面包卷
104,瓶装啤酒
104,咖啡
104,水果/蔬菜汁
104,餐巾
104,相片/膜
104,香肠
104,购物袋
104,柔软剂
104,全脂牛奶
104,酸奶
105,苏打
106,水果/蔬菜汁
106,面包卷
107,牛肉
107,莓果
107,黑面包
107,柑橘类水果
107,一般清洁剂
107,根茎类蔬菜
108,糖果
108,保鲜膜/袋
108,面包卷
108,苏打
108,威化饼
108,酸奶油
108,全脂牛奶
109,融化奶酪
110,仁果类水果
110,热带水果
111,瓶装啤酒
111,口香糖
111,碗碟
111,冷冻热狗肠
111,油
111,其他蔬菜
111,腌菜
111,面包卷
111,根茎类蔬菜
111,香肠
112,瓶装水
112,包装水果/蔬菜
113,瓶装水
113,甜点
113,冷冻蔬菜
113,人造黄油
113,报纸
113,粉红葡萄酒
113,面包卷
113,全脂牛奶
114,莓果
114,酸奶油
115,莓果
115,柑橘类水果
115,融化奶酪
115,超高温杀菌的牛奶
116,热带水果
116,全脂牛奶
116,酸奶
117,瓶装啤酒
117,冷冻蔬菜
117,汉堡肉
117,面包卷
117,起泡酒
117,全脂牛奶
118,碗碟
118,本地蛋类
118,冷冻蔬菜
118,汉堡肉
118,其他蔬菜
118,苏打
118,全脂牛奶
119,奶油乳酪
119,苏打
119,全脂牛奶
120,咖啡
120,鱼
120,长面包
120,男性化妆品
120,人造黄油
120,其他蔬菜
120,糕点
120,购物袋
121,冷冻热狗肠
121,长面包
121,香肠
121,威化饼
122,罐装啤酒
122,甜点
122,包装水果/蔬菜
122,半成品面包
123,糕点
123,苏打
124,其他蔬菜
124,粉红葡萄酒
125,其他饮料
126,罐装水果
126,柑橘类水果
126,奶油乳酪
126,本地蛋类
126,冷冻热狗肠
126,水果/蔬菜汁
126,硬奶酪
126,卫生用品
126,其他饮料
126,仁果类水果
126,白饭
126,香肠
126,糖
126,热带水果
126,全脂牛奶
127,起泡酒
128,特制门锁
129,酪
129,面包卷
129,香肠
130,凝乳酪
131,甜点
131,冷冻热狗肠
132,一般饮料
132,黑面包
132,购物袋
132,全脂牛奶
132,酸奶
133,报纸
134,莓果
134,苏打
135,凝乳
135,面粉
135,开胃酒
136,咖啡
136,其他蔬菜
136,热带水果
137,苏打
138,即食食品
138,面包卷
139,罐装啤酒
140,罐装啤酒
141,冷冻热狗肠
141,人造黄油
141,面包卷
141,香肠
141,全脂牛奶
142,罐装啤酒
142,其他饮料
142,其他蔬菜
143,冷冻蔬菜
143,全脂牛奶
144,全脂牛奶
145,黄油
145,柑橘类水果
145,奶油乳酪
145,人造黄油
145,报纸
145,油
145,白面包
146,冷冻热狗肠
146,面包卷
147,发酵粉
147,冷冻热狗肠
147,冷冻蔬菜
147,火腿
147,其他蔬菜
147,仁果类水果
147,面包卷
147,软奶酪
147,糖
147,全脂牛奶
148,酪
148,一般清洁剂
148,蜜糖
148,苏打
148,酸奶
149,瓶装水
149,柑橘类水果
149,牙齿保健用品
149,汉堡肉
149,洋葱
149,面包卷
150,意大利面
150,爆米花
151,风味蛋糕
151,巧克力
151,肉泥
151,其他蔬菜
151,购物袋
151,全脂牛奶
152,蜡烛
152,柑橘类水果
152,甜点
152,碗碟
152,猪肉
152,香肠
152,白面包
153,面包卷
154,凝乳
154,甜点
154,葡萄
154,餐巾
154,其他蔬菜
154,酸奶
155,一般饮料
155,瓶装啤酒
155,冷冻蔬菜
155,水果/蔬菜汁
155,其他蔬菜
155,根茎类蔬菜
155,软奶酪
155,全脂牛奶
155,酸奶
156,咖啡
156,购物袋
157,爆米花
158,瓶装水
158,面包卷
158,苏打
158,糖
158,全脂牛奶
159,其他蔬菜
159,包装水果/蔬菜
159,小吃类食品
159,热带水果
159,全脂牛奶
160,牛肉
160,保鲜膜/袋
160,面粉
160,花土/肥料
160,香草
161,黄油
161,甜点
161,面包卷
161,全脂牛奶
162,口香糖
162,冷冻热狗肠
162,苏打
163,瓶装水
163,特色奶酪
163,热带水果
164,罐装啤酒
165,瓶装啤酒
165,成品
165,冷冻蔬菜
165,其他蔬菜
166,一般饮料
166,苏打
167,汉堡肉
167,根茎类蔬菜
167,全脂牛奶
168,长面包
168,糕点
168,全脂牛奶
169,成品
169,购物袋
169,白酒
170,其他蔬菜
171,瓶装啤酒
171,黑面包
171,水果/蔬菜汁
171,火腿
171,其他蔬菜
171,热带水果
171,白面包
171,全脂牛奶
172,其他蔬菜
173,酪
173,可可饮料
173,凝乳
173,爆米花
173,咸点心
174,瓶装啤酒
175,风味蛋糕
175,巧克力
175,凝乳
175,甜点
175,咸点心
175,购物袋
175,苏打
175,威化饼
176,谷物
176,奶油乳酪
176,狗粮
176,全脂牛奶
177,盐
177,全脂牛奶
178,甜点
178,冰淇淋
179,咖啡
179,香肠
179,软奶酪
180,瓶装水
180,碗碟
180,其他蔬菜
180,购物袋
180,威化饼
181,火腿
181,面包卷
181,全脂牛奶
182,冰淇淋
182,其他蔬菜
183,瓶装水
183,其他蔬菜
184,瓶装啤酒
184,普罗赛克葡萄酒
184,苏打
184,白酒
185,糖果
185,香草
186,瓶装啤酒
186,黄油
186,谷物
186,奶油乳酪
186,凝乳
186,本地蛋类
186,冷冻热狗肠
186,冷冻鱼
186,冷冻餐饭
186,水果/蔬菜汁
186,火腿
186,其他蔬菜
186,仁果类水果
186,根茎类蔬菜
186,切片奶酪
186,软奶酪
186,糖
186,热带水果
186,威化饼
186,酸奶油
186,白面包
186,全脂牛奶
186,酸奶
187,罐装啤酒
187,面包卷
188,风味蛋糕
188,奶油乳酪
188,凝乳
188,半成品面包
188,购物袋
188,特制门锁
188,面包干
189,冷冻热狗肠
189,人造黄油
189,购物袋
189,水果奶油涂抹酱
189,热带水果
189,全脂牛奶
190,其他蔬菜
191,狗粮
192,特制门锁
193,凝乳
193,一般清洁剂
193,开胃酒
193,盐
193,购物袋
194,冷冻热狗肠
194,面包卷
195,苏打
196,牛肉
196,莓果
196,黑面包
196,甜点
196,根茎类蔬菜
196,水果奶油涂抹酱
196,全脂牛奶
197,罐装啤酒
198,牛肉
198,香草
198,仁果类水果
198,猪肉
198,香辛料
199,柑橘类水果
199,冷冻热狗肠
199,人造黄油
199,糖
199,超高温杀菌的牛奶
200,瓶装啤酒
200,开胃酒
200,香肠
201,罐装啤酒
202,特色巧克力
203,凝乳
203,面包卷
204,罐装啤酒
205,瓶装水
205,报纸
205,全脂牛奶
206,口香糖
206,面包卷
207,碗碟
207,其他蔬菜
207,猪肉
207,根茎类蔬菜
207,全脂牛奶
208,柑橘类水果
208,糕点
209,盆栽
210,糕点
210,面包卷
210,苏打
211,瓶装水
211,黄油
211,卫生用品
211,卸妆液
211,苏打
211,酸奶
212,咖啡
212,炼乳
212,购物袋
212,糖
213,其他蔬菜
213,香肠
213,购物袋
213,苏打
213,酸奶
214,一般饮料
214,苏打
214,超高温杀菌的牛奶
214,全脂牛奶
215,牛肉
215,人造黄油
215,猪肉
215,面包卷
215,香肠
215,全脂牛奶
216,一般饮料
217,一般饮料
217,特制门锁
218,瓶装水
218,水果/蔬菜汁
219,报纸
220,清洁工具
220,女性卫生用品
221,报纸
221,香肠
221,购物袋
221,苏打
222,报纸
223,牛肉
223,一般饮料
223,酪
223,柑橘类水果
223,炊具
223,厨房清洁剂
223,硬奶酪
223,其他蔬菜
223,面包卷
223,香肠
223,酸奶油
223,全脂牛奶
224,其他饮料
224,报纸
225,白酒
226,罐装啤酒
226,面包卷
226,香肠
226,购物袋
226,切片奶酪
226,苏打
227,瓶装啤酒
227,风味蛋糕
227,凝乳
227,一般肉类
228,发酵粉
228,保鲜膜/袋
228,冷冻热狗肠
228,一般肉类
228,油
228,洋葱
228,茶
228,热带水果
229,罐装啤酒
229,冰淇淋
229,面包卷
230,罐装啤酒
231,莓果
231,瓶装水
231,其他蔬菜
231,根茎类蔬菜
231,购物袋
231,热带水果
232,一般饮料
232,瓶装水
232,黑面包
232,酪
232,柑橘类水果
232,奶油乳酪
232,凝乳
232,甜点
232,一般肉类
232,其他蔬菜
232,面包卷
232,茶
233,瓶装水
233,芥末
233,全脂牛奶
234,牛肉
234,一般饮料
234,花卉种子
234,保管产品
234,面包卷
234,香肠
234,切片奶酪
234,香辛料
235,黄油
235,凝乳
235,冷冻热狗肠
235,长面包
235,面包卷
235,根茎类蔬菜
235,咸点心
235,香肠
235,切片奶酪
236,黄油
236,一般肉类
236,其他蔬菜
236,面包卷
237,一般饮料
237,一般清洁剂
237,即食食品
237,腌菜
237,根茎类蔬菜
238,香草
238,其他蔬菜
238,面包卷
238,根茎类蔬菜
238,切片奶酪
238,全脂牛奶
239,人造黄油
239,半成品面包
239,酸奶油
239,全脂牛奶
240,罐头鱼
240,罐头蔬菜
240,谷物
240,柑橘类水果
240,凝乳
240,甜点
240,冷冻甜点
240,卫生用品
240,餐巾
240,面包卷
240,盐
240,皮肤护理用品
240,糖
240,酸奶油
240,全脂牛奶
240,酸奶
241,糖果
241,柑橘类水果
241,凝乳
241,人造黄油
241,报纸
241,糕点
241,糖
242,瓶装啤酒
242,瓶装水
242,其他饮料
242,餐巾
242,其他蔬菜
242,粉红葡萄酒
242,苏打
242,全脂牛奶
243,柑橘类水果
243,面包卷
243,全脂牛奶
244,卫生用品
244,餐巾
244,油
244,香肠
245,牛肉
245,瓶装啤酒
245,瓶装水
245,黄油
245,冷冻热狗肠
245,冷冻甜点
245,葡萄
245,汉堡肉
245,马铃薯产品
245,根茎类蔬菜
245,全脂牛奶
246,瓶装水
246,硬奶酪
246,报纸
246,面包卷
247,巧克力
247,奶油乳酪
247,面包卷
247,苏打
248,牛肉
248,碗碟
248,冷冻蔬菜
248,相片/膜
248,火鸡
249,其他蔬菜
249,猪肉
249,面包卷
249,购物袋
249,苏打
249,酸奶油
250,一般饮料
250,全脂牛奶
251,面包卷
251,苏打
252,瓶装水
252,凝乳
252,卫生用品
252,仁果类水果
252,面包卷
252,香肠
252,切片奶酪
252,全脂牛奶
252,酸奶
253,冰淇淋
254,烈酒
255,水果/蔬菜汁
255,其他蔬菜
255,仁果类水果
256,其他蔬菜
256,根茎类蔬菜
256,酸奶
257,苏打
258,苏打
259,瓶装水
259,巧克力
259,柑橘类水果
259,报纸
259,其他蔬菜
259,面包卷
259,香肠
259,苏打
259,热带水果
259,全脂牛奶
259,酸奶
260,一般清洁剂
260,宠物护理用品
260,根茎类蔬菜
260,全脂牛奶
261,莓果
261,其他蔬菜
261,糕点
261,猪肉
261,根茎类蔬菜
261,特制门锁
262,猪肉
263,巧克力
264,水果/蔬菜汁
265,咖啡
265,腌菜
266,瓶装水
267,黄油
267,冷冻热狗肠
267,人造黄油
267,面包卷
267,香肠
267,香辛料
267,酸奶油
268,本地蛋类
268,卫生用品
268,餐巾
268,洋葱
268,其他蔬菜
268,仁果类水果
268,苏打
268,汤类
268,糖
268,茶
268,热带水果
268,全脂牛奶
269,罐装啤酒
270,根茎类蔬菜
271,莓果
271,柑橘类水果
271,一般肉类
271,根茎类蔬菜
271,苏打
271,全脂牛奶
272,瓶装水
272,冷冻热狗肠
272,水果/蔬菜汁
272,卫生用品
272,面包卷
273,人造黄油
273,朗姆酒
273,热带水果
274,酪
274,面粉
274,香草
274,卫生用品
274,根茎类蔬菜
274,热带水果
274,酸奶油
274,全脂牛奶
275,发酵粉
275,黑面包
275,柑橘类水果
275,奶油乳酪
275,本地蛋类
275,人造黄油
275,其他蔬菜
275,仁果类水果
275,根茎类蔬菜
275,威化饼
275,全脂牛奶
276,瓶装水
276,凝乳
276,水果/蔬菜汁
276,汉堡肉
276,人造黄油
276,其他蔬菜
276,糕点
276,面包卷
276,半成品面包
276,全脂牛奶
276,酸奶
277,鸡
277,甜点
277,其他蔬菜
277,意大利面
277,仁果类水果
277,面包卷
277,苏打
277,威化饼
277,酸奶油
277,全脂牛奶
277,酸奶
278,鸡
278,柑橘类水果
278,冷冻鱼
278,面包卷
278,根茎类蔬菜
278,热带水果
278,全脂牛奶
279,柑橘类水果
279,冷冻热狗肠
279,洋葱
279,其他蔬菜
279,面包卷
279,苏打
279,糖
279,全脂牛奶
280,罐装啤酒
281,糕点
281,仁果类水果
281,沙拉酱
281,火鸡
282,瓶装水
282,黑面包
282,凝乳
282,本地蛋类
282,其他饮料
282,芥末
282,包装水果/蔬菜
282,腌菜
282,全脂牛奶
282,酸奶
283,意大利面
284,柑橘类水果
284,热带水果
285,黑面包
285,盆栽
285,面包卷
285,香肠
285,全脂牛奶
285,酸奶
286,冷冻餐饭
286,水果/蔬菜汁
286,糕点
286,威化饼
286,全脂牛奶
287,罐装啤酒
288,柑橘类水果
288,酱油
288,糖
289,开胃酒
290,柑橘类水果
290,其他蔬菜
290,面包卷
290,咸点心
290,购物袋
291,香肠
292,瓶装水
292,罐装啤酒
292,鸡
292,餐巾
292,报纸
292,油
292,其他蔬菜
292,醋
292,全脂牛奶
293,面粉
293,汉堡肉
293,人造黄油
293,其他蔬菜
293,根茎类蔬菜
293,特色奶酪
293,酸奶油
293,全脂牛奶
293,酸奶
294,甜点
294,油
294,其他蔬菜
294,猪肉
294,香肠
294,苏打
294,酸奶
295,腐蚀性清洁剂
295,牛肉
295,莓果
295,根茎类蔬菜
295,酸奶油
295,全脂牛奶
296,瓶装水
296,柑橘类水果
296,包装水果/蔬菜
296,酸奶
297,咖啡
297,超高温杀菌的牛奶
298,糖果
299,报纸
300,牛肉
300,柑橘类水果
300,其他蔬菜
300,酸奶
301,面包卷
301,香肠
302,牛肉
302,罐装啤酒
302,凝乳
302,甜点
302,冷冻热狗肠
302,卫生用品
302,芥末
302,餐巾
302,腌菜
302,面包卷
302,根茎类蔬菜
302,软奶酪
302,酸奶
303,罐装啤酒
304,瓶装啤酒
305,口香糖
305,巧克力
305,报纸
305,洋葱
305,苏打
306,糖果
306,奶油乳酪
306,包装水果/蔬菜
306,热带水果
306,白面包
307,瓶装水
307,白酒
308,牛肉
308,意大利面
308,糕点
308,肥皂
308,白面包
309,腐蚀性清洁剂
309,糖果
309,鸡
309,清洁工具
309,根茎类蔬菜
309,香肠
309,热带水果
309,全脂牛奶
309,酸奶
310,发胶
311,鸡
311,长面包
311,购物袋
311,香辛料
311,全脂牛奶
312,黑面包
312,猫食
312,柑橘类水果
312,糕点
312,猪肉
312,糖
313,冰淇淋
314,瓶装啤酒
314,硬奶酪
314,一般肉类
315,黑面包
315,速溶咖啡
315,其他蔬菜
315,酸奶
316,瓶装水
316,风味蛋糕
317,咸点心
317,苏打
317,热带水果
318,相片/膜
319,罐装啤酒
319,柑橘类水果
319,咖啡
319,碗碟
319,香肠
319,苏打
319,酸奶
320,葡萄
320,根茎类蔬菜
321,黑面包
321,本地蛋类
321,相片/膜
322,罐装啤酒
322,罐头鱼
322,面包卷
323,热带水果
323,全脂牛奶
324,鸡
325,瓶装水
325,黑面包
325,冷冻热狗肠
325,其他蔬菜
325,酸奶
326,莓果
326,酪
326,奶油乳酪
326,凝乳
326,一般清洁剂
326,人造黄油
326,其他饮料
326,其他蔬菜
326,卷装制品
326,根茎类蔬菜
326,特色巧克力
327,卫生用品
327,人造黄油
328,面包卷
328,购物袋
328,苏打
328,热带水果
328,酸奶
329,糖果
329,巧克力
329,火腿
329,硬奶酪
329,其他饮料
329,其他蔬菜
329,面包卷
329,苏打
329,酸奶油
330,汉堡肉
330,咸点心
330,白面包
331,蛋黄酱
331,餐巾
331,面包卷
331,苏打
331,酸奶
332,苏打
332,特色巧克力
333,酸奶
334,苏打
335,瓶装水
336,汉堡肉
336,一般肉类
336,医用酒精
336,香肠
337,一般饮料
337,柑橘类水果
337,水果/蔬菜汁
337,硬奶酪
337,宠物护理用品
337,仁果类水果
337,苏打
337,威化饼
338,购物袋
339,报纸
340,凝乳
340,厨房清洁剂
340,冷冻热狗肠
340,冷冻土豆制品
340,其他蔬菜
340,特制门锁
340,全脂牛奶
340,面包干
341,罐装啤酒
341,柑橘类水果
341,香肠
341,全脂牛奶
342,冷冻热狗肠
342,面包卷
343,炊具
343,盐
343,咸点心
344,油
345,一般饮料
345,风味蛋糕
345,口香糖
345,奶油乳酪
345,凝乳
345,糕点
345,面包卷
345,苏打
346,黄油
346,其他蔬菜
346,特色巧克力
347,柑橘类水果
348,酪
348,冷冻热狗肠
348,全脂牛奶
349,黄油
349,蛋黄酱
349,融化奶酪
349,根茎类蔬菜
349,咸点心
349,全脂牛奶
350,瓶装啤酒
350,冷冻餐饭
350,热带水果
350,全脂牛奶
351,牛肉
351,汉堡肉
351,仁果类水果
352,莓果
352,谷物
352,购物袋
352,威化饼
352,酸奶油
353,罐装啤酒
354,罐装啤酒
354,粉红葡萄酒
354,酸奶油
355,糖果
355,巧克力棉花糖
355,本地蛋类
355,人造黄油
355,根茎类蔬菜
356,苏打
356,全脂牛奶
357,牛肉
358,冷冻蔬菜
359,瓶装啤酒
359,面包卷
360,卫生用品
360,全脂牛奶
361,全脂牛奶
362,柑橘类水果
362,凝乳
362,软奶酪
362,全脂牛奶
363,水果/蔬菜汁
363,糕点
364,黑面包
364,黄油
364,冷冻热狗肠
364,仁果类水果
364,猪肉
364,融化奶酪
364,香肠
364,白面包
365,本地蛋类
365,根茎类蔬菜
365,热带水果
365,酸奶油
365,全脂牛奶
366,冷冻热狗肠
366,餐巾
366,糕点
366,根茎类蔬菜
366,香肠
366,酸奶油
366,酸奶
367,莓果
367,猫食
367,凝乳
367,凝乳酪
367,一般清洁剂
367,其他蔬菜
367,包装水果/蔬菜
367,根茎类蔬菜
367,特制门锁
367,全脂牛奶
368,瓶装啤酒
368,黑面包
368,咖啡
368,糕点
368,面包卷
369,咖啡
369,凝乳
369,甜点
369,冷冻蔬菜
369,包装水果/蔬菜
369,根茎类蔬菜
369,特色油脂
370,酸奶
371,瓶装水
371,其他蔬菜
372,莓果
372,白面包
373,莓果
373,咖啡
374,瓶装水
374,酪
374,冷冻餐饭
374,其他蔬菜
375,报纸
375,面包卷
376,柑橘类水果
376,火腿
376,卫生用品
376,糕点
376,面包卷
376,威化饼
376,酸奶油
376,全脂牛奶
377,冷冻甜点
377,餐巾
377,咸点心
377,全脂牛奶
378,瓶装水
378,酪
378,面包卷
378,热带水果
379,瓶装水
380,酪
380,酸奶
381,报纸
382,咖啡
383,瓶装啤酒
383,烈酒
384,黄油
384,糖果
384,保鲜膜/袋
384,冷冻蔬菜
384,硬奶酪
384,餐巾
384,洋葱
384,意大利面
384,特色油脂
384,糖水
384,酸奶油
385,狗粮
385,冷冻餐饭
385,汉堡肉
385,硬奶酪
385,意大利面
385,咸点心
385,购物袋
386,奶油乳酪
386,干面包
386,其他蔬菜
386,糕点
386,香肠
386,购物袋
386,肥皂
387,硬奶酪
387,餐巾
387,糕点
388,炼乳
388,面包卷
388,香肠
388,热带水果
389,汉堡肉
390,一般饮料
390,冷冻甜点
390,洋葱
390,全脂牛奶
391,咖啡
392,购物袋
393,瓶装水
393,糕点
393,面包卷
393,购物袋
393,苏打
393,酸奶
394,苏打
395,切片奶酪
396,咖啡
396,香肠
396,全脂牛奶
397,巧克力
397,酸奶
398,厨房清洁剂
398,本地蛋类
398,卫生用品
398,面包卷
399,全脂牛奶
400,一般肉类
400,其他蔬菜
400,酸奶油
400,全脂牛奶
401,浴室清洁剂
401,厨房清洁剂
401,卫生用品
401,餐巾
402,其他蔬菜
402,粉红葡萄酒
403,酪
403,咖啡
403,水果/蔬菜汁
403,长面包
403,面包卷
403,购物袋
403,切片奶酪
403,甜食
403,全脂牛奶
403,酸奶
404,即食食品
404,其他蔬菜
404,面包卷
404,全脂牛奶
405,其他蔬菜
405,热带水果
406,发酵粉
406,瓶装水
406,口香糖
406,咸点心
407,特制门锁
408,冰淇淋
409,冷冻热狗肠
409,酸奶
410,罐装啤酒
411,瓶装水
412,瓶装啤酒
412,瓶装水
412,人造黄油
412,其他蔬菜
412,面包卷
412,全脂牛奶
413,柑橘类水果
413,洋葱
